      IPTS Basename                                                        Avg_Trans    Std_Trans
     30240 SDS_5mgmL_0M_44C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_44C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_46C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_46CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_46CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_46CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_46CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_46CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_46CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_46CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_46CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_46C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_46C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_46C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_46C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_46C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_46C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_46C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_48C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_48CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_48CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_48CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_48CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_48CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_48CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_48CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_48CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_48C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_48C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_48C_incohfit                                        0.812264     0.008416
